title,url,content,subject,sub-subject
Introdução Aritmética I Operações Básicas,https://resumos.mesalva.com/introducao-aritmetica-operacoes-basicas/,"Ao lado da física e da química, a matemática é uma das matérias mais temidas pelos estudantes, por vários motivos: desde a falta de afinidade com essa área, até a forma como a matéria é tratada durante a vida escolar. Você já deve ter percebido que é muito mais difícil aprender algo que nós não gostamos do que algo que nos agrada, certo?
Pensando em como transformar essa situação, buscamos proporcionar uma nova forma de encarar a matemática, não apenas como uma série de números, cálculos, equações e desenhos, mas como uma ferramenta valiosa na resolução de problemas da vida. Por isso, você vai perceber que, sempre que possível, antes de qualquer coisa, é apresentada uma situação cotidiana, de ordem prática, normalmente um problema, a famigerada #treta, a ser resolvido.
Quanto dinheiro por mês preciso economizar para fazer aquela viagem dos sonhos? Vale a pena parcelar uma compra ou aproveitar o desconto à vista? Qual a quantidade de tecido necessária para remendar o meu casaco? Em seguida, trabalhamos ferramentas matemáticas que podem nos ajudar em cada caso.
Para isso, serão propostos alguns exercícios, que pretendem te ajudar a fixar o conteúdo recém aprendido! Os capítulos que virão a seguir são uma base teórica para você ter a matemática como uma aliada no alcance dos seus objetivos durante o ensino médio e preparação pré-vestibular.
Então, para iniciar os nossos estudos no maravilhoso mundo da matemática, vamos começar contando um pouco da sua história.
Por exemplo: você sabia que o teorema de Pitágoras, na forma como conhecemos hoje, foi proposto por Euclides? E será que é verdade que o sistema decimal foi criado, e é assim chamado, porque podemos utilizar os (dez) dedos das mãos para contar? São essas questões e curiosidades que estudaremos. É uma parte mais light para você começar a se familiarizar com o conteúdo e entender porque os povos mais primitivos precisaram “criar” a matemática e o quanto ela foi essencial para o desenvolvimento da sociedade.
Depois disso, iniciaremos nosso estudo relembrando alguns conteúdos mais básicos, como adição, subtração, MDC, MMC, potenciação, radiciação, frações, etc. Lembra como somar frações? E as regrinhas da radiciação e potenciação? Pois é… É por isso que começaremos por aí!
Esses são os conteúdos mais básicos; a partir deles abordaremos as geometrias plana, analítica e espacial, às vezes fazendo relações com a trigonometria. Você vai ficar craque em formas geométricas, área, volume, equação da reta, círculo trigonométrico, seno, cosseno e tangente! Veremos (ou relembraremos) as equações de 1° e de 2° graus – sim, a famosa Bhaskara! E produtos notáveis, lembra desse nome? Pois é, vamos utilizar bastante! Não podemos esquecer, claro, as sequências numéricas, as queridas PA e PG, além de porcentagem, escala (que dá aquele empurrrãozinho em Geografia), regra de três, etc.
Agora, caminhando para uma parte mais avançada, estudaremos as funções, as inequações, logaritmos, exponenciais e toda essa parte que talvez não te traga boas lembranças (mas, isso vai mudar!). Em seguida, veremos matrizes, determinantes, sistemas lineares, números complexos e polinômios, que podem parecer totalmente desconexos com a realidade, mas você vai perceber que estão mais presentes na sua vida do que imagina. Além disso tudo, abordaremos um conteúdo que o pessoal que gosta de uma jogatina se identifica: análise combinatória, probabilidade e estatística (aquela chance que você tem de ganhar na Mega Sena, como que se calcula mesmo?). E, para podermos manter as contas bem controladas (ou pra saber o quanto aquela bolada da Mega renderia na poupança), estudaremos um pouco de matemática financeira. Dá uma olhada no mapa abaixo:
Viu que são muuuuitas coisas para aprender, reaprender ou relembrar, né? Então, estude bastante, leia e, principalmente, faça os exercícios. Matemática exige bastante treino; por isso, quanto mais exercícios você fizer, mais músculos vai ganhar conhecimento vai ganhar!
Talvez o nosso primeiro contato com números tenha sido perto do nosso primeiro aniversário, quando nossos pais, avós e/ou familiares em geral, nos ensinaram a fazer o número “um” com o dedinho indicador e depois perguntavam quantos aninhos complementaríamos. Eu ficaria surpresa se vocês lembrassem disso, mas, provavelmente, já viram essa cena ou até mesmo já repetiram esse ato. E isso se repete no segundo aninho ou até no terceiro, até a criança saber falar sua idade. Perceba que, na falta da fala, acabamos gesticulando, indicando os números com os dedos, mesmo que naquele momento a criança não tenha clareza do que essa relação representa. Isso remete ao surgimento dos números, como vimos na História da Matemática, em que o número de determinado objeto era representado por símbolos como bolinhas, cunhas, etc.
Depois de nos ensinarem a indicar os números com os dedos, os adultos nos ensinaram a contar os dedos das mãos; mas, quando começamos a frequentar a escola, nos deparamos com problemas que nossos dedos não davam conta de resolver. A partir daí, foi necessário aprender a representação escrita dos números que indicávamos com nossos dedinhos e, assim, iniciamos nosso estudo da matemática e suas operações básicas.
Vamos relembrar essas operações (adição, subtração, multiplicação e divisão), porque elas servem de base para tudo o que veremos daqui por diante. Além disso, é muito importante que você consiga resolvê-las à mão, sem a utilização da calculadora, já que o uso dessa maquininha maravilhosa não é permitido nas provas de ENEM ou nos vestibulares.
► Números naturais: São os números que conseguimos contar com os dedos, incluindo o zero. O conjunto dos números naturais é representado por N (com algumas variações). Por exemplo, N = {0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, …}. Por enquanto, é com esses números que vamos lidar, ok?Para saber mais, veja também: ",Matematica,introducao-aritmetica-operacoes-basicas
Adição e Subtração de Naturais,https://resumos.mesalva.com/adicao-e-subtracao-de-naturais-2/,"É caracterizada pela soma de duas ou mais “coisas”. Exemplo: você é um grande leitor e tem 113 livros. Como seus amigos sabem da sua paixão, eles te presenteiam com 8 livros. Quantos livros você tem ao todo?
A continha é simples e provavelmente você fez de cabeça, mas vamos relembrar alguns detalhes, ok? Ali ao lado, você vê que tanto 113 quanto 8 são as chamadas parcelas. Se você puxar lá do fundo da memória, vai lembrar da frase “a ordem das parcelas não altera a soma”, ou seja, tanto faz se é 113 + 8 ou 8 + 113, o resultado será o mesmo, 121 livros, desde que você coloque unidade embaixo de unidade, dezena embaixo de dezena e centena embaixo de centena, lembra disso? Ah, não se esqueça que, nos casos em que a soma ultrapassa o número 9, devemos colocar a dezena na reserva, ok? Dá uma olhada na resolução abaixo.
É a diminuição de algo em relação a outra coisa.
Exemplo: Em um fim de semana, você e seus amigos tiraram 120 fotos. Dessas, 14 ficaram desfocadas, tornando impossível identificar cada um. Quantas foram as fotos que ficaram boas para vocês poderem compartilhar e marcar uns aos outros?
De novo, temos uma continha simples que você deve ter resolvido com facilidade. Mesmo assim, vamos relembrar como essa conta seria montada e os nomes de cada elemento. Antes, a ordem dos números não importava, mas aqui ela é essencial! O problema está nos dizendo que vocês fizeram 120 fotos, mas que 14 não ficaram boas e pergunta quantas são “usáveis”. Então, precisamos diminuir 14 de 120 – e não 120 de 14, certo? Por isso, 120 é o chamado minuendo e 14 é o subtraendo (o que será subtraído do minuendo).
Percebe como a ordem é importante? O resultado disso será 106 fotos, que é a diferença entre os primeiros números. Outro detalhe que você precisa lembrar é que, quando temos, na unidade do minuendo, por exemplo, um número menor do que o da unidade do subtraendo, evemos “pegar emprestado do número vizinho” – da dezena, no caso – e resolver a conta normalmente. Dá uma olhada na resolução aí.",Matematica,adicao-e-subtracao-de-naturais-2
Multiplicação e Divisão de Naturais,https://resumos.mesalva.com/multiplicacao-e-divisao-de-naturais/,"Essa operação é uma forma mais fácil de realizarmos várias somas. Então, se queremos saber o resultado de 2 + 2 + 2, podemos, simplesmente, fazer 2 x 3, já que estamos somando o 2 três vezes, e obteremos o mesmo resultado. Exemplo: Sua mãe comprou 14 pacotes de bolacha com 12 unidades cada para uma reunião. Ela pediu que você contasse quantas bolachas foram adquiridas ao todo, para saber se precisava comprar mais. Você, como é muito esperto, em vez de contar cada uma das unidades, lembrou que pode fazer uma multiplicação entre a quantidade de pacotes e de bolachas, obtendo o resultado de 168 bolachas.
Perceba que, assim como na adição, na multiplicação a ordem dos números, que agora são chamados fatores, não importa. Podemos fazer 12 x 14 ou 14 x 12 que obteremos 168 como produto, certo? Outro detalhe que você precisa relembrar é como é montado o cálculo para conseguir resolver a conta à mão.
Então, montando a conta com um fator em cima do outro, iniciamos o cálculo pela unidade do fator de baixo, multiplicando todo o fator acima; em seguida o mesmo procedimento deve ser realizado para a dezena (e para centena e milhar, se for o caso). Por fim, os resultados dessas multiplicações são somados e obtemos o produto.
Você tem 15 pares de sapatos e 3 prateleiras para acondicioná-los. Quantos sapatos você terá que guardar em cada prateleira? Outra forma de interpretar esse problema é pensando que você tem 15 sapatos para dividir em 3 prateleiras. Perceba que, novamente, a ordem importa. Nesse caso, 15 é o dividendo e 3 é o divisor. Resolvendo isso teremos que o resultado, 5, é o quociente. Veja a resolução e relembre como é que se monta uma conta de dividir. Dentro da “casinha”, a chave, sempre vai o divisor; abaixo dela vai o quociente. Lembra disso? Ótimo! Repete esse cálculo para treinar e deixar tudo bem claro e fresco na cabeça, ok?

",Matematica,multiplicacao-e-divisao-de-naturais
Máximo Divisor Comum (MDC) e os Números Primos,https://resumos.mesalva.com/maximo-divisor-comum-mdc-numeros-primos/,"Ao planejar a sua festinha de aniversário, você teve a ideia de distribuir, na saída, cartões de agradecimento pela presença dos convidados. Para fazê-los, você pediu que sua mãe comprasse pedaços de papel de mesmo comprimento, mas com duas cores diferentes. Ao abrir as embalagens, você percebeu que ela acabou comprando o pedaço de papel azul com 60 cm de comprimento e o pedaço de papel vermelho com 48 cm de comprimento. Para que não sobre papel e para que os cartões sejam iguais, qual deverá ser o comprimento máximo de cada cartão?
Para resolver esse problema, precisamos da ajuda do chamado MDC, ou Máximo Divisor (ou Denominador) Comum, já que nosso objetivo é dividir os papéis para formar os cartões. Acompanhe:
O MDC envolve a análise entre os divisores (naturais) de dois ou mais números, buscando sempre o maior deles. Como assim? Vamos analisar os divisores dos números citados no problema acima:
 ► O número 60 é divisível por: 1, 2, 3, 4, 5, 6, 10, 12, 15, 20, 30, 60. ► O número 48 é divisível por: 1, 2, 3, 4, 6, 8, 12, 16, 24, 48.
Os números 60 e 48 têm os seguintes divisores em comum: 1, 2, 3, 4, 6, 12, certo? Mas o maior deles é o 12. Então, o MDC de 60 e 48 é 12. A notação adequada é: MDC (60, 48) = 12. Então, o comprimento máximo de cada cartão deve ser de 12 cm.
Beleza! Mas, e se você tivesse pedaços de 1024 cm e 1256 cm para fazer o mesmo trabalho, teria que calcular cada um dos divisores dos números e depois fazer as comparações? Claro que não! A matemática está aqui para facilitar a nossa vida! Para resolver problemas maiores, podemos utilizar os números primos, lembra deles?
São os números que são divisíveis por eles mesmos e por 1, apenas. Alguns exemplos são: 2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47 e por aí vai. Para saber se o número é primo ou não, é necessário analisar quais são seus divisores. Em geral, esses que foram expostos são os que você vai utilizar, mas é bom saber como identificá-los, ok? Por exemplo, o número 7 você consegue dividir por 7, que resulta em 1 e por 1, que resulta em 7. O número 13 é possível dividir por 13, resultando em 1 e por 1, resultando em 7. O número 13 é possível dividir por 13, resultando em 1 e por 1, resultando em 13. Isso, de o número ser divisível apenas por ele mesmo e por 1 sempre vai acontecer quando o número for primo. Então, sempre que você precisar identificar um número primo, é necessário fazer esse tipo de “teste”.
Agora que já relembramos o que e quais são alguns números primos, vamos aplicar esses conhecimentos na resolução do MDC. Monte um esqueminha como esse abaixo:
À direita da linha vertical, você escreverá o primeiro número primo que pode dividir AMBOS os números; abaixo da linha horizontal você escreverá o resultado dessa divisão. Esse procedimento será repetido até que não seja mais possível dividir os números simultaneamente por um primo:
Depois desse procedimento, nosso interesse está nos números à direita da linha vertical: ao multiplicá-los, chegaremos ao MDC dos números 48 e 60: 2 x 2 x 3 = 12. Exatamente o mesmo resultado que obtivemos anteriormente, de uma forma bem mais simples, certo?",Matematica,maximo-divisor-comum-mdc-numeros-primos
Mínimo Múltiplo Comum – MMC,https://resumos.mesalva.com/minimo-multiplo-comum-mmc/,"Novamente, essa técnica é aplicada em dois ou mais números, porque não faz sentido fazer o MMC de um número apenas (perceba que existe o “comum” no nome), para saber qual é o menor número múltiplo entre eles. Parece esquisito, mas veja como é simples:
 ► São múltiplos de 3: 0, 3, 6, 9, 12, 15, 18, 21, 24, 27, 30, … ► São múltiplos de 8: 0, 8, 16, 24, 32, 40, … ► São múltiplos de 12: 0, 12, 24, 36, …
Perceba que o zero sempre é múltiplo do número, mas ele é desconsiderado na hora em que analisamos qual é o menor múltiplo entre os números, senão a resposta seria sempre zero, o que não resolveria nosso problema. No caso acima, além do zero, o próximo múltiplo encontrado em todos os casos é o número 24, certo? Esse é, portanto, o MMC de 3, 8 e 12, formalmente descrito por MMC (3, 8, 12) = 24. Então, você tomará novamente os três remédios juntos 24 horas depois da primeira dosagem. Veja na tabela de marcações de horários dos remédios como esse resultado é corroborado.
O problema foi resolvido, mas, assim como no MDC, o MMC pode ser facilitado a partir da utilização dos números primos. O procedimento é muito parecido com o que fizemos anteriormente, mas agora não é necessário dividir todos os números ao mesmo tempo e o MMC só é obtido a partir do momento em que o quociente é 1 para todos eles. Não entendeu direito? Vamos montar aquele esqueminha de antes utilizando os números do nosso exemplo:
Vamos iniciar a divisão desses números começando pelo primeiro número possível, o número 2. Como assim? Lembra que não precisamos dividir todos os números simultaneamente no MMC? Então, o número 3 é copiado novamente e os demais são divididos, até que seja possível passar para o próximo número primo e dividi-lo por 3 até chegarmos a todos os quocientes iguais a 1. Acompanhe abaixo. O resultado do MMC será o produto entre os números à direita da linha vertical: 2 x 2 x 2 x 3 = 24, que é o mesmo resultado que encontramos anteriormente, certo?
O resultado do MMC será o produto entre os números à direita da linha vertical: 2 x 2 x 2 x 3 = 24, que é o mesmo resultado que encontramos anteriormente, certo?",Matematica,minimo-multiplo-comum-mmc
Potenciação – Nomenclatura e Casos Particulares,https://resumos.mesalva.com/potenciacao-nomenclatura-casos-particulares/,"Imagine se tivéssemos 2 x 2 x 2 x 2 x 2 x 2 x 2 x 2 x 3 x 3 x 3 x 5, ou um número ainda maior, no lugar de termos como o MMC de um número 2 x 2 x 2 x 3. Seria bastante perigoso reescrever esses números sem esquecer de um deles, né? Novamente, a nossa Matemática, queridona, tem uma solução para nos ajudar a não cometer esse tipo de equívoco utilizando uma “nova” operação, a potenciação.
Podemos agrupar números iguais indicando o número de vezes que eles se repetem no expoente. Os cálculos do exemplo ficariam:
► 2 x 2 x 2 x 3 = 23 x 31 ou 23 x 3 = 24► 2 x 2 x 2 x 2 x 2 x 2 x 2 x 2 x 3 x 3 x 3 x 5 = 28 x 33 x 51= 345602 
Fique atento! O cálculo não é 2 x 3, mas 23 (lê-se 2 ao cubo, ou 2 elevado à terceira potência). Esse erro é muito comum. Veja a diferença:
 ► 2 x 3 = 6 ► 23 = 2 x 2 x 2 = 8
 ► Expoente 1: Como já foi mencionado, o expoente é o número de vezes que o número está sendo multiplicado. Qualquer número multiplicado por 1 tem como resultado ele mesmo. Além disso, o número 1 pode ser omitido no expoente.
► Expoente zero: Aqui as coisas ficam um pouco mais esquisitas. Isso porque qualquer número diferente de zero elevado ao expoente 0 tem como resultado 1. Por exemplo: 10 = 1, 250 = 1, 3680 = 1 e assim por diante.",Matematica,potenciacao-nomenclatura-casos-particulares
Potenciação com Base 10  – Notação Científica,https://resumos.mesalva.com/potenciacao-base-10-notacao-cientifica/,"Temos que um número é elevado a um expoente. Esse número é chamado de base. Então, se tivermos uma base 2 e um expoente 3, chegaremos a conclusão de que o cálculo é 23. Quando temos uma base 10, a conta fica ainda mais fácil, já que o número indicado no expoente é o número de zeros que acompanhará o 1 no resultado. Por exemplo: 102 = 100, 104  = 10000, 107 = 10000000. A potência de 10 é utilizada, principalmente, para expressar números muitos grandes ou muito pequenos e é chamada de notação científica. Por exemplo, o número 70000000 pode ser reescrito como 7 x 10000000, mas vimos que 10000000 é 107, então 70000000 pode ser reescrito como 7 x 107. Um número muito pequeno, como 0,000007 também pode ser reescrito em notação científica. Veja:
E já sabemos reescrever o denominador em potência de 10 (veja que são 6 zeros):
Se invertermos a operação, ou seja, se no lugar de uma divisão preferirmos uma multiplicação, lembre que o expoente deve mudar de sinal também. Então, teremos:
O número absoluto do expoente indica quantas casas decimais são “andadas”. Veja os exemplos:
No caso de expoente positivo, apenas escrevemos o número que vem à frente da potência de dez e escrevemos o número de zeros que corresponde ao expoente.
No caso de expoente negativo a dica é contar o número de casas a partir do lado direito do 7 (perceba que podemos escrever 7,0 x 10-6 e então a vírgula anda o número de casas indicadas).
Você encontrará notação científica em problemas tanto de matemática quanto de física, química e biologia, por isso é interessante saber e se acostumar a utilizá-la.
Perceba que o sinal positivo no expoente descreve números maiores do que um (107 = 10000000 que multiplicando por 7 resulta em 70000000). O sinal negativo representa números menores do que um (afinal, teremos que 10-6 = 0,000001 que multiplicando por 7 resulta em 0,000007).",Matematica,potenciacao-base-10-notacao-cientifica
Propriedades da Potenciação,https://resumos.mesalva.com/propriedades-potenciacao/,"► Multiplicação de potências: Quando temos uma multiplicação de potências com as bases iguais, basta manter a base, somar os expoentes e resolver o cálculo. Por exemplo: 33 x 32= 3(3 + 2) = 35 = 243. Caso as bases sejam diferentes, esse procedimento não é possível, ok?
► Divisão de potências: No caso da divisão de potências de bases iguais, devemos manter a base e subtrair os expoentes. Por exemplo: 33: 32 = 3(3 -2) = 31 = 3. De novo, perceba que as bases devem ser iguais para que esse cálculo seja feito.
 ► Potência de potência: O cálculo de (33)2 parece muito apavorante, né? Mas é bastante simples; basta que os expoentes sejam multiplicados e que a base seja mantida. No caso mencionado, teremos 3( 3 x 2) = 36 = 729. Beleza?
 ► Potências com o mesmo expoente: Essa é bem tranquila, olha só: a2 x b2 =(a x b)2 , ou seja: 23 x 33 = 8 x 27 = 216 que é o mesmo que (2×3)3 = (6)3 = 6x6x6= 216",Matematica,propriedades-potenciacao
Radiciação,https://resumos.mesalva.com/radiciacao/,"Anteriormente, vimos que a potenciação é uma operação. Como toda a operação, ela tem uma inversa. A inversa da adição é a subtração, da multiplicação é a divisão e da potenciação é a radiciação. Relembraremos o símbolo chamado “raiz”, no qual colocamos o índice e o radicando:
Vamos analisar as operações abaixo:
 ► 22 = 4, então: 2√4 = √4 = 2. Perceba que, quando o índice é 2, ele é muitas vezes omitido da raiz. ► 23 = 8, então: 3√8 = 2.
Também podemos enxergar a radiciação como a potenciação a um expoente que é uma fração, por exemplo:
 ► √2 = (2)1/2 ► 3√8 = (8)1/3
Onde a fração utilizada no expoente será sempre o inverso do índice do radical!
Outra forma de resolver problemas de radiciação sem ter os números “decorados” é realizando decomposição deles, como se fosse um MMC com apenas um número. Veja os exemplos abaixo:
Para resolver, 2√4 = √4 = 2 vamos decompor o número 4 em números primos:
O resultado nós colocaremos no radicando: 2√22. Note que o índice da raiz é igual ao expoente do radicando e por isso eles podem ser simplificados e assim nos “livramos” da raiz. Veja:
E então teremos que:
Mesmo resultado que obtivemos anteriormente. Veja outro exemplo:
Para saber 3√8 = 2, vamos decompor o radicando em números primos:
Substituindo o resultado na radiciação, teremos 3√23. Novamente, o índice da raiz e o expoente do radicando coincidem e, por isso, podemos “cortá-los”. Acompanhe:
Portanto, o resultado é:
Que é o mesmo resultado que encontramos anteriormente.",Matematica,radiciacao
Números Negativos – Soma e Subtração,https://resumos.mesalva.com/numeros-negativos-soma-subtracao/,"Até agora, estávamos tratando apenas com números positivos (chamados de números naturais porque pertencem ao Conjunto dos Números Naturais, como veremos mais tarde), mas você sabe que os números negativos estão presentes no nosso cotidiano, como na temperatura abaixo de zero que faz em alguns lugares no inverno ou no saldo da sua conta corrente quando acaba gastando mais do que havia guardado. Juntamente com os positivos e o zero, os números negativos fazem parte do Conjunto dos Números Inteiros.
Vamos recapitular todas as operações anteriores para os casos em que trabalhamos com números negativos. Fique tranquilo, é só ter atenção com o sinalzinho que vem antes do número. Temos um esqueminha que vale para operações de multiplicação e de divisão pra você não se confundir mais, confere ao lado.
É bem fácil se você lembrar que os iguAIS dão mAIS, e que o restante é o contrário, certo? Outra dica é: não economize parênteses. Com eles é muito mais fácil enxergar essas relações.
A soma de dois números negativos resulta em um número negativo. Já a soma de um número negativo com um número positivo vai depender dos números em questão! Veja os exemplos:
► Dois números negativos: Você estava devendo 10 reais para o seu irmão e pediu mais 12 reais para ele. Quanto você está devendo (sinal de menos) para o seu irmão?
Você está devendo 22 reais. Perceba que o sinal de menos representa o saldo devedor, ou saldo negativo.
► Um número negativo e um positivo: Você decide pagar 5 reais da dívida que tem com seu irmão. Estará ainda devendo a ele depois disso?
Infelizmente, você continua devendo ao seu irmão. Dias depois, você finalmente recebe e consegue pagar mais 20 reais a ele. Como fica a dívida?
Não há mais dívida! E você ainda deu 3 reais a mais. Outra forma de interpretar isso é que você ficou com um saldo de 3 reais com o seu irmão! Ou, deixou R$3,00 de bônus… já que ele foi super legal em te emprestar o dinheiro.
Um número negativo menos outro número negativo é transformado em uma adição, mantendo o sinal negativo. Um número negativo menos um número positivo continua sendo uma subtração. Dá uma olhada:
► Dois números negativos: fazer a subtração de dois número negativos é equivalente a somar um número negativo com outro positivo. Lembra que sinais iguais resultam em mais:
► Um número negativo e um positivo: em um dia, a temperatura da cidade que você foi visitar no inverno era de -2° C. Mais tarde, você ouviu dizer que a temperatura tinha diminuído ainda 1°C.",Matematica,numeros-negativos-soma-subtracao
